sortOrder,id,assetFileName,displayName,category,isHoliday,description,tickerMessage,scheduledOnly,startUnix,endUnix,canRotate,weight,minDaysBetween,idleRewardMultiplier,battleRewardMultiplier,exchangeValueMultiplier,boostedMonsterType,typeDamageMultiplier,effectCount,effect1_kind,effect1_job,effect1_resource,effect1_monsterType,effect1_value,effect1_flag,effect2_kind,effect2_job,effect2_resource,effect2_monsterType,effect2_value,effect2_flag,effect3_kind,effect3_job,effect3_resource,effect3_monsterType,effect3_value,effect3_flag,effect4_kind,effect4_job,effect4_resource,effect4_monsterType,effect4_value,effect4_flag,effect5_kind,effect5_job,effect5_resource,effect5_monsterType,effect5_value,effect5_flag
23,WE-023,WE_023_Dockworkers_Strike.asset,Dockworkers Strike,Job,false,The Harbor's output is reduced by 30% during this world event. The Harbor's storage cap is reduced by 25% during this world event. Stored rewards at the Harbor cannot be collected while this event is active.,Dock disruptions slow Harbor shipments.,false,0,0,true,7,21,1,1,1,None,1,3,JobRateMultiplier,Harbor,None,None,0.7,false,JobStorageCapMultiplier,Harbor,None,None,0.75,false,JobCollectDisabled,Harbor,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false
24,WE-024,WE_024_Shipping_Boom.asset,Shipping Boom,Job,false,The Harbor's output is increased by 30% during this world event.,Trade volume increases Harbor activity.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Harbor,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
25,WE-025,WE_025_Cryo_Lab_Maintenance_Week.asset,Cryo Lab Maintenance Week,Job,false,The Cryo Lab is unavailable during this world event.,Cryo Lab systems undergoing containment maintenance.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Cryo_Lab,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
26,WE-026,WE_026_Cryo_Lab_Inspection.asset,Cryo Lab Inspection,Job,false,The Cryo Lab's output is reduced by 15% during this world event. Working at the Cryo Lab generates 35% more fatigue during this world event.,Cryo inspection slows output and raises fatigue.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Cryo_Lab,None,None,0.85,false,JobFatigueRateMultiplier,Cryo_Lab,None,None,1.35,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
27,WE-027,WE_027_Cryo_Breakthrough.asset,Cryo Breakthrough,Job,false,The Cryo Lab's output is increased by 30% during this world event.,A Cryo Lab breakthrough improves production.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Cryo_Lab,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
28,WE-028,WE_028_Observatory_Maintenance_Week.asset,Observatory Maintenance Week,Job,false,The Observatory is unavailable during this world event.,Observatory systems offline for lens calibration.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Observatory,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
29,WE-029,WE_029_Observatory_Protest.asset,Observatory Protest,Job,false,The Observatory's output is reduced by 30% during this world event. The Observatory's storage cap is reduced by 20% during this world event.,A funding review slows Observatory operations.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Observatory,None,None,0.7,false,JobStorageCapMultiplier,Observatory,None,None,0.8,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
30,WE-030,WE_030_Clear_Skies_Week.asset,Clear Skies Week,Job,false,The Observatory's output is increased by 30% during this world event.,Clear conditions improve Observatory output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Observatory,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
31,WE-031,WE_031_Containment_Maintenance_Week.asset,Containment Maintenance Week,Job,false,The Containment is unavailable during this world event.,Containment sealed for systems testing.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Containment,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
32,WE-032,WE_032_Containment_Inspection.asset,Containment Inspection,Job,false,The Containment's output is reduced by 15% during this world event. Working at the Containment generates 35% more fatigue during this world event.,"Containment protocols tighten, reducing output and raising fatigue.",false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Containment,None,None,0.85,false,JobFatigueRateMultiplier,Containment,None,None,1.35,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
33,WE-033,WE_033_Containment_Efficiency.asset,Containment Efficiency,Job,false,The Containment's output is increased by 30% during this world event.,Containment process improvements increase output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Containment,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
34,WE-034,WE_034_Wyrm_Den_Maintenance_Week.asset,Wyrm Den Maintenance Week,Job,false,The Wyrm Den is unavailable during this world event.,Wyrm Den access limited during reinforcement work.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,WyrmDen,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
35,WE-035,WE_035_Wyrm_Den_Unrest.asset,Wyrm Den Unrest,Job,false,The Wyrm Den's output is reduced by 30% during this world event. The Wyrm Den's storage cap is reduced by 25% during this world event.,Wyrm Den unrest reduces output and storage capacity.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,WyrmDen,None,None,0.7,false,JobStorageCapMultiplier,WyrmDen,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
36,WE-036,WE_036_Wyrm_Activity_Surge.asset,Wyrm Activity Surge,Job,false,The Wyrm Den's output is increased by 30% during this world event.,Increased Wyrm activity raises Wyrm Den yields.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,WyrmDen,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
37,WE-037,WE_037_Shadow_Market_Maintenance_Week.asset,Shadow Market Maintenance Week,Job,false,The Shadow Market is unavailable during this world event.,Shadow Market operations temporarily suspended for reorganization.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Shadow_Market,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
38,WE-038,WE_038_Shadow_Market_Crackdown.asset,Shadow Market Crackdown,Job,false,The Shadow Market's output is reduced by 30% during this world event. The Shadow Market's storage cap is reduced by 25% during this world event. Stored rewards at the Shadow Market cannot be collected while this event is active.,Enforcement pressure reduces Shadow Market output and storage.,false,0,0,true,7,21,1,1,1,None,1,3,JobRateMultiplier,Shadow_Market,None,None,0.7,false,JobStorageCapMultiplier,Shadow_Market,None,None,0.75,false,JobCollectDisabled,Shadow_Market,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false
39,WE-039,WE_039_Black_Friday_Surge.asset,Black Friday Surge,Job,false,The Shadow Market's output is increased by 30% during this world event.,Shadow Market demand increases output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Shadow_Market,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
40,WE-040,WE_040_Sanctum_Maintenance_Week.asset,Sanctum Maintenance Week,Job,false,The Sanctum is unavailable during this world event.,Sanctum sealed for ward repairs.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Sanctum,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
41,WE-041,WE_041_Sanctum_Protest.asset,Sanctum Protest,Job,false,The Sanctum's output is reduced by 30% during this world event. The Sanctum's storage cap is reduced by 25% during this world event.,Internal disruption reduces Sanctum output and storage.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Sanctum,None,None,0.7,false,JobStorageCapMultiplier,Sanctum,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
42,WE-042,WE_042_Sanctum_Blessing.asset,Sanctum Blessing,Job,false,The Sanctum's output is increased by 30% during this world event.,A rare blessing improves Sanctum output.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Sanctum,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
43,WE-043,WE_043_Clinic_Maintenance_Week.asset,Clinic Maintenance Week,Job,false,The Clinic is unavailable during this world event.,Clinic systems offline for sterilization maintenance.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Clinic,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
44,WE-044,WE_044_Clinic_Supply_Shortage.asset,Clinic Supply Shortage,Job,false,The Clinic's output is reduced by 30% during this world event. The Clinic's storage cap is reduced by 20% during this world event.,Supply shortages reduce Clinic throughput.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Clinic,None,None,0.7,false,JobStorageCapMultiplier,Clinic,None,None,0.8,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
45,WE-045,WE_045_Public_Health_Initiative.asset,Public Health Initiative,Job,false,The Clinic's output is increased by 30% during this world event.,Public health demand improves Clinic productivity.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Clinic,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
46,WE-046,WE_046_Expedition_Maintenance_Week.asset,Expedition Maintenance Week,Job,false,The Expedition is unavailable during this world event.,Expedition routes closed for mapping updates.,false,0,0,true,3,42,1,1,1,None,1,1,DisableJobSite,Expedition,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
47,WE-047,WE_047_Expedition_Delays.asset,Expedition Delays,Job,false,The Expedition's output is reduced by 30% during this world event. The Expedition's storage cap is reduced by 25% during this world event.,Expedition delays reduce output and storage capacity.,false,0,0,true,7,21,1,1,1,None,1,2,JobRateMultiplier,Expedition,None,None,0.7,false,JobStorageCapMultiplier,Expedition,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
48,WE-048,WE_048_Expedition_Windfall.asset,Expedition Windfall,Job,false,The Expedition's output is increased by 30% during this world event.,Expedition teams return with increased yields.,false,0,0,true,10,14,1,1,1,None,1,1,JobRateMultiplier,Expedition,None,None,1.3,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
49,WE-100,WE_100_Citywide_Curfew.asset,Citywide Curfew,Encounter,false,Rift Operations are unavailable during this world event.,Citywide curfew in effect. Rift Operations suspended.,false,0,0,true,10,28,1,1,1,None,1,1,DisableEncounters,None,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
50,WE-101,WE_101_High_Alert.asset,High Alert,Encounter,false,Time between boss encounters is reduced by 25% during this world event.,High Alert issued. Field risk is increasing.,false,0,0,true,10,21,1,1,1,None,1,1,BossCadenceMultiplier,None,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
51,WE-102,WE_102_Tourist_Season.asset,Tourist Season,Encounter,false,Rift Operations cost 20% less Energy during this world event.,Tourist traffic reduces Rift Operation Energy costs.,false,0,0,true,10,14,1,1,1,None,1,1,EncounterEnergyCostMultiplier,None,None,None,0.8,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
52,WE-103,WE_103_Quiet_Streets.asset,Quiet Streets,Encounter,false,Time between boss encounters is increased by 20% during this world event.,Quiet conditions reduce hostile activity.,false,0,0,true,8,14,1,1,1,None,1,1,BossCadenceMultiplier,None,None,None,1.2,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
53,WE-104,WE_104_Festival_Crowds.asset,Festival Crowds,Encounter,false,Rift Operations cost 15% less Energy during this world event.,"Festival traffic lowers operation costs, but Rift sightings are less frequent.",false,0,0,true,8,14,1,1,1,None,1,1,EncounterEnergyCostMultiplier,None,None,None,0.85,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
54,WE-105,WE_105_Security_Sweep.asset,Security Sweep,Encounter,false,Rift Operations are unavailable during this world event.,A security sweep disrupts Rift Operation availability.,false,0,0,true,7,21,1,1,1,None,1,1,DisableEncounters,None,None,None,0,true,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
55,WE-106,WE_106_Storm_Front.asset,Storm Front,Encounter,false,Time between boss encounters is reduced by 15% during this world event.,A storm front increases field danger. Boss sightings occur sooner.,false,0,0,true,7,21,1,1,1,None,1,1,BossCadenceMultiplier,None,None,None,0.85,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
56,WE-107,WE_107_Free_Pass_Week.asset,Free Pass Week,Encounter,false,Rift Operations cost 25% less Energy during this world event.,Transit promotions reduce Rift Operation Energy costs.,false,0,0,true,7,14,1,1,1,None,1,1,EncounterEnergyCostMultiplier,None,None,None,0.75,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
57,WE-200,WE_200_Inflation.asset,Inflation,Meta,false,Shop prices are increased by 20% during this world event.,Inflation raises market valuations.,false,0,0,true,10,21,1,1,1,None,1,1,ShopPriceMultiplier,None,None,None,1.2,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
58,WE-201,WE_201_Deflation.asset,Deflation,Meta,false,Shop prices are reduced by 15% during this world event.,A market downturn lowers valuations.,false,0,0,true,10,21,1,1,1,None,1,1,ShopPriceMultiplier,None,None,None,0.85,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
59,WE-202,WE_202_Voucher_Drive.asset,Voucher Drive,Meta,false,Voucher gains are increased by 50% during this world event.,A voucher initiative increases special reward availability.,false,0,0,true,10,14,1,1,1,None,1,1,ResourceGainMultiplier,None,Vouchers,None,1.5,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
60,WE-203,WE_203_Supply_Chain_Relief.asset,Supply Chain Relief,Meta,false,Shop prices are reduced by 10% during this world event.,Supply chain relief lowers shop pricing.,false,0,0,true,8,14,1,1,1,None,1,1,ShopPriceMultiplier,None,None,None,0.9,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
61,WE-204,WE_204_Market_Panic.asset,Market Panic,Meta,false,Shop prices are increased by 10% during this world event.,Market instability raises shop pricing.,false,0,0,true,8,21,1,1,1,None,1,1,ShopPriceMultiplier,None,None,None,1.1,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
62,WE-205,WE_205_Bonus_Payout_Week.asset,Bonus Payout Week,Meta,false,All resource gains are increased by 10% during this world event.,Bonus payouts increase resource yields.,false,0,0,true,7,14,1,1,1,None,1,1,ResourceGainMultiplier,None,All,None,1.1,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
63,WE-206,WE_206_Rationing_Week.asset,Rationing Week,Meta,false,All resource gains are reduced by 5% during this world event.,Rationing slightly reduces resource yields.,false,0,0,true,7,14,1,1,1,None,1,1,ResourceGainMultiplier,None,All,None,0.95,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
64,WE-207,WE_207_Collector_Craze.asset,Collector Craze,Meta,false,Voucher gains are increased by 25% during this world event.,Collector demand improves voucher-style drop rates.,false,0,0,true,7,14,1,1,1,None,1,1,ResourceGainMultiplier,None,Vouchers,None,1.25,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
65,WE-300,WE_300_Local_News.asset,Local News,Flavor,false,This is a flavor-only world event and does not change gameplay.,City bulletin: a Bitling parade draws crowds downtown.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
66,WE-301,WE_301_Weather_Report.asset,Weather Report,Flavor,false,This is a flavor-only world event and does not change gameplay.,Weather bulletin: mild conditions reported across the region.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
67,WE-302,WE_302_Radio_Chatter.asset,Radio Chatter,Flavor,false,This is a flavor-only world event and does not change gameplay.,Radio bulletin: unusual signals reported near the Observatory.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
68,WE-303,WE_303_Transit_Delay.asset,Transit Delay,Flavor,false,This is a flavor-only world event and does not change gameplay.,Transit bulletin: outer-route shipments are delayed.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
69,WE-304,WE_304_Community_Notice.asset,Community Notice,Flavor,false,This is a flavor-only world event and does not change gameplay.,Community notice: volunteer cleanup scheduled this weekend.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
70,WE-305,WE_305_Street_Market.asset,Street Market,Flavor,false,This is a flavor-only world event and does not change gameplay.,Local market activity expands into new neighborhoods.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
71,WE-306,WE_306_City_Council.asset,City Council,Flavor,false,This is a flavor-only world event and does not change gameplay.,Council review underway on new infrastructure policies.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
72,WE-307,WE_307_Lost_And_Found.asset,Lost And Found,Flavor,false,This is a flavor-only world event and does not change gameplay.,Lost and found: a polished trinket has been returned to its owner.,false,0,0,true,10,7,1,1,1,None,1,0,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false,None,None,None,None,0,false
